kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
NQU_gpgpusim.1.sm_89.ptx 224 : 9600 57888 0 0 0 0 0 0 0 
NQU_gpgpusim.1.sm_89.ptx 97 : 841921 7577289 0 0 0 0 0 0 0 
NQU_gpgpusim.1.sm_89.ptx 225 : 9600 50884 0 0 0 0 0 0 100 
NQU_gpgpusim.1.sm_89.ptx 98 : 841921 30920755 0 121090 37018 0 0 0 0 
NQU_gpgpusim.1.sm_89.ptx 227 : 100 3411 0 100 100 0 0 0 0 
NQU_gpgpusim.1.sm_89.ptx 100 : 841921 5051526 0 0 0 0 0 0 0 
NQU_gpgpusim.1.sm_89.ptx 233 : 9600 49632 0 0 0 0 0 0 0 
NQU_gpgpusim.1.sm_89.ptx 228 : 100 3424 0 100 100 0 0 0 0 
NQU_gpgpusim.1.sm_89.ptx 101 : 841921 2069440 0 0 0 0 0 0 35013 
NQU_gpgpusim.1.sm_89.ptx 229 : 100 900 0 0 0 0 0 0 0 
NQU_gpgpusim.1.sm_89.ptx 102 : 428033 2992727 0 0 0 0 0 0 0 
NQU_gpgpusim.1.sm_89.ptx 230 : 100 400 0 100 100 0 0 0 0 
NQU_gpgpusim.1.sm_89.ptx 234 : 9600 58272 0 0 0 0 0 0 0 
NQU_gpgpusim.1.sm_89.ptx 235 : 9600 52626 0 0 0 0 0 0 100 
NQU_gpgpusim.1.sm_89.ptx 237 : 100 3329 0 100 100 0 0 0 0 
NQU_gpgpusim.1.sm_89.ptx 110 : 428033 2996231 0 0 0 0 0 0 0 
NQU_gpgpusim.1.sm_89.ptx 244 : 9600 50624 0 0 0 0 0 0 0 
NQU_gpgpusim.1.sm_89.ptx 238 : 100 603 0 0 0 0 0 0 0 
NQU_gpgpusim.1.sm_89.ptx 111 : 428033 2568198 0 0 0 0 0 0 0 
NQU_gpgpusim.1.sm_89.ptx 239 : 100 900 0 0 0 0 0 0 0 
NQU_gpgpusim.1.sm_89.ptx 112 : 428033 2568198 0 0 0 0 0 0 0 
NQU_gpgpusim.1.sm_89.ptx 240 : 100 900 0 0 0 0 0 0 0 
NQU_gpgpusim.1.sm_89.ptx 113 : 428033 2408424 0 83382 36022 0 0 0 0 
NQU_gpgpusim.1.sm_89.ptx 241 : 100 400 0 0 0 100 100 0 0 
NQU_gpgpusim.1.sm_89.ptx 114 : 428033 2568198 0 0 0 0 0 0 0 
NQU_gpgpusim.1.sm_89.ptx 84 : 55 275 0 0 0 0 0 0 0 
NQU_gpgpusim.1.sm_89.ptx 85 : 55 495 0 0 0 0 0 0 0 
NQU_gpgpusim.1.sm_89.ptx 89 : 55 330 0 0 0 0 0 0 0 
NQU_gpgpusim.1.sm_89.ptx 95 : 841921 7577289 0 0 0 0 0 0 0 
NQU_gpgpusim.1.sm_89.ptx 99 : 841921 5051526 0 0 0 0 0 0 0 
NQU_gpgpusim.1.sm_89.ptx 109 : 428033 3852297 0 0 0 0 0 0 0 
NQU_gpgpusim.1.sm_89.ptx 115 : 428033 2568198 0 0 0 0 0 0 0 
NQU_gpgpusim.1.sm_89.ptx 116 : 428033 0 0 0 0 0 0 0 0 
NQU_gpgpusim.1.sm_89.ptx 118 : 428033 3852297 0 0 0 0 0 0 0 
NQU_gpgpusim.1.sm_89.ptx 119 : 428033 2568198 0 0 0 0 0 0 0 
NQU_gpgpusim.1.sm_89.ptx 120 : 428033 35500 0 0 0 0 0 0 5715 
NQU_gpgpusim.1.sm_89.ptx 121 : 420933 2310603 0 0 0 0 0 0 0 
NQU_gpgpusim.1.sm_89.ptx 133 : 420933 3857043 0 0 0 0 0 0 0 
